CCODE,CNAME,VENDOR_NO,WORK_ORDER,WO_FROM_DATE,WO_TO_DATE,CVALUE,DURATION,CDURATION,EIC_PRNO,EIC,JOB_DESC,DEPARTMENT,EMPLOYEE_COUNT,CLRA,ISMW,WORKMEN_TOT,EXCESS_CLRA_COUNT,EXCESS_CLRA_CONT_COUNT,STATUS
CT0800,EIL-BRIDGE&ROOF(OSBL)-SOUTHERN ENGINEERS AND CORROSION CONTROLS,,AS/927-000-PK-TN-3002/1012/FOA/3009-EBS,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,15,15,NULL,NULL,NULL,1
CT0861,EIL-BRIDGE & ROOF OSBL-WELCOME FABRICATION WORKS,,AS/927-000-PK-TN-3002/1012/FOA/3009-EBW,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,400,500,NULL,NULL,NULL,1
CT0913,EIL-BRIDGE & ROOF OSBL - SRI DHANALAKSHMI ENTERPRISES,,AS/927-000-PK-TN-3002/1012/FOA/3009-EDE,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,950,900,NULL,NULL,NULL,1
CT0856,EIL-BRIDGE AND ROOF(OSBL)-N N ENGG WORKS,,AS/927-000-PK-TN-3002/1012/FOA/3009-ENN,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,410,510,NULL,NULL,NULL,1
CT0915,EIL-BRIDGE & ROOF OSBL - RANJEET CONSTRUCTION,,AS/927-000-PK-TN-3002/1012/FOA/3009-ERR,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,400,300,NULL,NULL,NULL,1
CT0772,EIL-BRIDGE & ROOF OSBL - RATAN CONSTRUCTION COMPANY,,AS/927-000-PK-TN-3002/1012/FOA/3009-ERT,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,420,515,NULL,NULL,NULL,1
CT0985,EIL-BRIDGE & ROOF OSBL - INSULREF TECHNOLOGIES PVT LTD,,AS/927-000-PK-TN-3002/1012/FOA/3009-INS,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,26,26,NULL,NULL,NULL,1
CT0982,EIL-BRIDGE & ROOF OSBL-MAMTHA CONSTRUCTION,,AS/927-000-PK-TN-3002/1012/FOA/3009-MAM,2020-12-31,2021-06-30,NULL,78,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,80,70,NULL,NULL,NULL,1
CT0794,EIL-BRIDGE&ROOF (OSBL)-NATIONAL INSPECTION TECHNICAL SERVICES,,AS/927-000-PK-TN-3002/1012/FOA/3009-NIT,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,400,500,NULL,NULL,NULL,1
CT0976,EIL-BRIDGE & ROOF OSBL-SRI LAKSHMI CONSTRUCTION COMPANY,,AS/927-000-PK-TN-3002/1012/FOA/3009-SCC,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,37,10,NULL,NULL,NULL,1
CT1110,EIL-BRIDGE&ROOF (OSBL)-VALLAB ENGINEERING SERVICES PVT LTD,,AS/927-000-PK-TN-3002/1012/FOA/3009-VAL,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,30,5,NULL,NULL,NULL,1
